date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:36	32918/32918	---M-Z	200	added ('OK')	text/css	etag:%221d5fb6a09b6599c7af8d07598332380e%22	http://brasil-colonia.info/cache/jsn_dome_pro/uncss-d128c9dc35464892ea62420ed247af39.css	D:/projetos/Brasil%20Info/brasil-colonia.info/cache/jsn_dome_pro/uncss-d128c9dc35464892ea62420ed247af39.css	(from http://brasil-colonia.info/escravidao-no-brasil.html)
10:10:36	15466/15466	---M--	200	added ('OK')	binary/octet-stream	etag:%22f9d9f43067856a0691a7a332ae1178a8%22	http://brasil-colonia.info/images/imagens/barras-ouro.jpg	D:/projetos/Brasil%20Info/brasil-colonia.info/images/imagens/barras-ouro.jpg	(from http://brasil-colonia.info/economia-colonial.html)
10:10:36	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Sep%202017%2013:10:33%20GMT	http://brasil-colonia.info/index.html	D:/projetos/Brasil%20Info/brasil-colonia.info/index-2.html	(from http://brasil-colonia.info/escravidao-no-brasil.html)
10:10:37	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Sep%202017%2013:10:34%20GMT	http://brasil-colonia.info/index.html	D:/projetos/Brasil%20Info/brasil-colonia.info/index-2.html	(from http://brasil-colonia.info/escravidao-no-brasil.html)
10:10:37	17115/17115	---M--	200	added ('OK')	binary/octet-stream	etag:%228e56970011a30d3cf08810a867ecb2d2%22	http://brasil-colonia.info/images/imagens/mulher-indigena.jpg	D:/projetos/Brasil%20Info/brasil-colonia.info/images/imagens/mulher-indigena.jpg	(from http://brasil-colonia.info/escravidao-no-brasil.html)
10:10:37	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Sep%202017%2013:10:34%20GMT	http://brasil-colonia.info/index.html	D:/projetos/Brasil%20Info/brasil-colonia.info/index-2.html	(from http://brasil-colonia.info/escravidao-no-brasil.html)
10:10:38	33033/33033	---M-Z	200	added ('OK')	text/css	etag:%22db32472b404759af7cff33f059d2960f%22	http://brasil-colonia.info/cache/jsn_dome_pro/uncss-75fe173e77bf121d77297bc83d318dfb.css	D:/projetos/Brasil%20Info/brasil-colonia.info/cache/jsn_dome_pro/uncss-75fe173e77bf121d77297bc83d318dfb.css	(from http://brasil-colonia.info/arte-barroca.html)
10:10:38	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Sep%202017%2013:10:35%20GMT	http://brasil-colonia.info/index.html	D:/projetos/Brasil%20Info/brasil-colonia.info/index-2.html	(from http://brasil-colonia.info/arte-barroca.html)
10:10:38	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Sep%202017%2013:10:35%20GMT	http://brasil-colonia.info/index.html	D:/projetos/Brasil%20Info/brasil-colonia.info/index-2.html	(from http://brasil-colonia.info/arte-barroca.html)
10:10:38	13713/13713	---M--	200	added ('OK')	binary/octet-stream	etag:%22d53cb48437551e5395ae1eca0e70d433%22	http://brasil-colonia.info/images/imagens/escultura-barroca.jpg	D:/projetos/Brasil%20Info/brasil-colonia.info/images/imagens/escultura-barroca.jpg	(from http://brasil-colonia.info/arte-barroca.html)
10:10:39	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Sep%202017%2013:10:35%20GMT	http://brasil-colonia.info/index.html	D:/projetos/Brasil%20Info/brasil-colonia.info/index-2.html	(from http://brasil-colonia.info/arte-barroca.html)
10:10:40	38910/38910	---M-Z	200	added ('OK')	text/css	etag:%22e5e930ffbdd42b32cbb3847e924ca1f9%22	http://brasil-colonia.info/cache/jsn_dome_pro/uncss-826e3611d17353fcb3c577b5347168a1.css	D:/projetos/Brasil%20Info/brasil-colonia.info/cache/jsn_dome_pro/uncss-826e3611d17353fcb3c577b5347168a1.css	(from http://brasil-colonia.info/fale-conosco.html)
10:10:40	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Sep%202017%2013:10:36%20GMT	http://brasil-colonia.info/index.html	D:/projetos/Brasil%20Info/brasil-colonia.info/index-2.html	(from http://brasil-colonia.info/fale-conosco.html)
10:10:40	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Sep%202017%2013:10:37%20GMT	http://brasil-colonia.info/index.html	D:/projetos/Brasil%20Info/brasil-colonia.info/index-2.html	(from http://brasil-colonia.info/fale-conosco.html)
10:10:40	5143/5143	---M--	200	added ('OK')	binary/octet-stream	etag:%22d2ab8687d32ea0e5ded074e9c7dc8ead%22	http://brasil-colonia.info/images/Fale-Conosco/fale-conosco2.jpg	D:/projetos/Brasil%20Info/brasil-colonia.info/images/Fale-Conosco/fale-conosco2.jpg	(from http://brasil-colonia.info/fale-conosco.html)
10:10:40	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Sep%202017%2013:10:37%20GMT	http://brasil-colonia.info/index.html	D:/projetos/Brasil%20Info/brasil-colonia.info/index-2.html	(from http://brasil-colonia.info/fale-conosco.html)
